,username,full_text
242,ariq_muafan,Ganjar itu justru ingin lanjutin program Jokowi IKN BPJS BLT dll Grand design kebijakan Jokowi itu bukan dr Jokowi sendiri tp dr PDIP Cuma anda kena framing aja dr buzzermu karena Ganjar kritik Jokowi Gibran amp Prabowo ditambah hubungan Jkw dan PDIP yg memburuk
243,cyberprim,Jgn pakai jurus mabok Dana bos gak boleh dikurangi klo perlu ditambah Klo program maksi gratis kurang dananya potong aja dana IKN atau proyek besar lainnya atau klo perlu potong gaji2 pejabat
244,ade_rusmaya,HHHmsih ngurus IKNudh brpa tuh pmbangunna bos Beras gmna ni harga mahal banget pdah pnya program tuk mngatasi pangan food estatev beras masih imporsingkong jg kgk panenpikirin kbutuhn rakyat z dehpmbangunn mah tar elu jual lgi kan HHH
245,cyberprim,Hadeh jangan pake jurus mabok donk Pak Sekelas menko gak kreatif mencari solusi Gak usah maksain program bgini klo dananya kurang atau gak ada Potong aja dana IKN amp dana proyek lain Harapan saya pendidikan gratis TK sd S1 utk negeri amp murah bersubsidi utk swasta
246,ariq_muafan,Justru sebenarnya capres 3 juga ingin melanjutkan Jkw termasuk IKN BLT BPJS gratis cuma digoreng aja sama buzzer capres 2 gr PDIP kritik Jkw sama Gibran seakan ga lanjutin program Jkw Nah justru legacywarisan program Jkw itu ada di PDIP GanjarMahfud bukan PrabowoGibran
247,HilmiFirdausi,Wkt menteri bapak gencar di media kasi program subsidi mobil listrik dan motor listrik sbnrnya kami uda paham sih pak klo pemerintah gak seserius itu atasi kemacetan Solusi pemerintah atasi macet jakarta kan pindah ke IKN Biar macetnya merata IKN ada macet jkt tetep macet
248,AndreAn82027531,Teruskan pembangunan ikn kapan perlu bikin program pembangunan yg lebih megahtenang saja pak kami rakyat akan memberikan pajak setinggi mungkin walaupun buat beli mkn saja kami susah kami akan selalu di samping anda pak
249,laodeumarbonte,Yang gak mau ke IKN pecat2in aja pak Mereka tidak mendukung program oligarki
250,ExpeditorRasa,explanation kan si nyenggol 02 karna emg di janji kampanye nya mau ngelanjutin program IKN yak dan itu konsekuensi hasil pemilu di masa mendatang kalo salahin anies gegara banjir ini kan beliau ngejabatnya udh lewat yak dr situ aja logika yg sama udh ga mashokkk
251,azwar6102,Bagaimana berantas kemiskinan kalau programprogramnya saja terkesan serampangan bahkan berpotensi menambah beban baru bagi rakyat Makan siang gratis saja akan menguras APBN sangat besar belum IKN yang terkesan semuanya bukan kebutuhan mendesak
252,JoinNkri,Mari Dukung Program Pembangunan
253,ANTARABengkulu,Rapat Pimpinan Rapim TNI Angkatan Laut Tahun 2024 membahas sejumlah program kerja sepanjang 2024 termasuk rencana pembangunan pangkalan utama TNI AL lantamal dan markas besar TNI AL mabesal di Ibu Kota Nusantara IKN
254,UlunBakumpai,UU IKN tabrak dialog sekarang program salah satu capres tabrak belum keputusan KPU Kelompok oligarki dan nepotisme makin nampak
255,aurcai,yup memang harus ada pemerataan tapi program ikn yang katanya wujud pemerataan aja isinya pejabat doang dan terbatas awikwok sekali memang jokowi ini
256,jojoe_gaza,Anggaran negara dipastikan akan jebol jika program makan gratis dijalankan dimana Indonesia hrs membayar hutang cukup besar serta pbiayaan program jokowi yg tdk padat karya merugi seperti IKN dll kekacauan ini tentu dipastikan akan diteruskan wowo jika terpilih
257,syembah,Program apa yang realistis untuk dilanjutkan Food Estate IKN dan rumah mewah menteri Kereta cepat hutang besar sepi penumpang Melanjutkan 3 periode lewat keturunan Import beras disaat beras mahal Petani melarat Kenaikan pajak OS Buruh abadi sick
258,Infoterkini265,Mari dukung program pembangunan IKN Nusantara
259,rayyarvin,Konteksnya apa jawabannya apa Konteksnya soal KKN amp bahan pangan mahal Memangnya IKN program untuk rakyat
260,felisa_r14,Mari dukung program pembangunan IKN Nusantara
261,felisa_r14,Mari dukung program pembangunan IKN Nusantara
262,felisa_r14,Mari dukung program pembangunan IKN Nusantara
263,Dedy44169434,Tolol lu tau kagak program anies Gak mau lanjutin IkN Kritik hilirisasi dan infrastruktur ala si kowi Dasar IQ minus 78
264,poetrisellya,Gak akan berani sih kan udah dikasih jabatan sama rezim jadi melempem deh terkait program ikn
265,luv144p,Kan bener nih pendukungnya keluar kalo menurut dia ad prestasi doang tiba2 rame bener kmrin msalah beras BBM minum sbux pesut mahakm mati Ikn 2juta org Ikn upload rumah pejabat owi ikut rapat makan gratis bank dunia khawtir sm program 02 dsb gk ad yg munculll
266,SandhookAwaken1,Program yg dimsukn thn 2025 harga naik bagi bansos pemilu IKN MK KPK KPU BAWASLU siRekap aksi depan kantor ICW gelar kehormatan hanya sebagian pandangan kegoblokan yg terbesit dlm kepala dipaksa sehat dinegeri yg sakit
267,Matchabkngrinti,Ikn sendiri nantinya akan menjadi pusat pemerintahan tapi untuk ekonomi masih berfokus di jakarta ini program pemerintahan bukan transmigrasi Mohon maaf untuk penggunaan pribumi bisa diganti jadi WNI aja ya kurang enak di lihat
268,Sepotonglidi,Ada baiknya ada buruknya si Walau gw suka program nya yg citarum harum tp gw sengklek banget sama ikn woi
269,kepaladukuh,ya move on saja semua move on karena meluruskan statement saya ga ada gunanya disini Program IKN bakal jalan sampai 2045 dan program 40 kota setara jakarta itu tinggal impian Tunggu lagi 5 tahun lagi kita bahas Sekarang Move on MOVE ON
270,yuukialbedo,pembangunan 300 fakultas kedokteran pembangunan 3 juta rumah program makan siang dan susu gratis tiap hari selama 5 tahun bagi seluruh anakanak Indonesia proyek ikn beasiswa full bagi mahasiswa saintek yang soshum ga diajak ke luar negeri dll apa itu semua realistis
271,gintingski,Program makan siang gratis proyek IKN cicilan utang Siap2 kencangkan ikat pinggang
272,Antinow4,SEMUA PROGRAM BERPIHAK PADA RAKYAT njir IKN itu tuk rakyat yg mana Yg punya lahan gt mayoritas pengusaha Untuk kota2 sekitar gt lebih realistis 40 kota dimajukan tidak dari nol
273,kpgnj,Kalau program IKN gimana Bu Satu
274,detikcom,Panglima TNI Jenderal Agus Subiyanto menegaskan TNI dukung program pembangunan IKN Nusantara Tahun ini sebanyak 2820 Prajurit TNI akan dipindah ke IKN
275,Rasheed_inn,Loh kan bagus buat program nasional kan Anda jg mengakui itu bagus SMKN Jateng itu menjadi barometer untuk jenjang lebih tinggi Program makan gratis dan susu kira2 berapa tuh Biayanya di atas pembangunan ikn selamat menikmati
276,nisaas__,Dah dibilang program ikn gada bagus2nya udh dikaji juga emg gabagus Cuma dipaksain aja
277,purwantoe111,Hak angket benar Namun efeknya cukup berbahaya 010203 itu punya basis 200rb 300rb masa yang nekad Apa Harus sampai di bentur2kan Bentar lagi ramadhan Yang kalah perkuat oposisi aja udah Kawal pembangunan IKN Kawal Program MASITIS Makan siang gratis
278,MeldaaMei29,berarti benar hanya untuk petinggi pemerintahan Ikn aja di batasi kalo ada bencana yakin warganya bisa pindah ke ikn program lain yang saya tau ada 1 keluarga 1 sarjana sekolah gratis sama kartu sakti soal internet saya ga dukung paslon itu maaf yah cma tau programnya saja
279,AbdulRachm54890,Ayo yg pro program keberlanjutan Proyek IKN siap siap kalian susah makan
280,TERClPTA,Program mana yang berpihak pada rakyat pukimak Wkwkwkwkwkwk Pembangunan IKN aja gak mendengarkan saran para pakar lingkungan
281,bambapril,Info ajah Pragip menang Alhamdulillah Program Pembangunan IKN tetap berjalan simbul negara di Kalimantan smoga pemerataan ekonomi terwujud
282,AiBe917501,Klo rakyat puas dgn kinerja Jokowi knp PSI gak masuk tiga besar suara Suara PSI itu suara pendukung Jokowi Artinya suara mereka cuma sebagian kecil dari rakyat mnurutmukan semua program berfihak kpd rakyat jelaskan 1 aja jgn pake asumsi IKN buat rakyat apa bukan
283,nKhaliiiid,Ga usah ngomongin soal kritik2 kocak uu omnibuslaw sama kpk aja dikritik abis2an ga di gubris IKN yg ga ada amdal aja lanjut terus KCIC yg cuma kereta cepat aja bengkak sampe pake anggaran apbn nah IKN apakabar Skrg tiba2 bahas program maksi gratis realitis palamu
284,GenieUs_Loci,Belum termasuk anggaran program lainnya dari capres terpilih program JKW yang katanya akan dilanjutkan oleh capres ini infrastruktur IKN dll APBN kita tidak sekuat itu Saya yakin program Makan Siang Gratis ini hanya ambisi tanpa perencanaan dan pertimbangan matang
285,RadenTheoOFC,IKN NusantaraBalikpapanSamarindaTenggarong Semarang Purwokerto 2020 WOW program capres lain diwujudkan sendiri selama ini oleh Pak
286,HikmatTf,Program yang mana yah koq IKN yah Apa IKN u mensejahterakan rakyat Kalau memang ada programnya yg bagus u rakyat kenapa beras mahal ya
287,nung_306,iya yang mana yang realistis untuk dilanjutkan IKN yang kurang tinggal benahi emang benahinya gak pakai anggaran lantas anggaranya dr mana APBN APBN saja sudah defisit apa mau tambah hutang lagi justru saya tanya program yg mana yg realistis yg berpihak pada rakyat
288,fakta_rakyat,PENAJAM Dewan Adat Dayak Paser Kabupaten Penajam Paser Utara PPU menyatakan dukungan penuh terhadap pembangunan Bandara VVIP jalan tol dan program reforma agraria di Ibu Kota Nusantara IKN
289,FazyNargareta,Semua program dan pondasi dibangun Jokowi contoh IKN dan yg kurang tinggal dibenahi
290,nung_306,program apa yang realistis untuk dilanjutkan food estate IKN dan rumah mewah menteri2 bandara sepi kereta cepat hutang besar sepi penumpang melanjutkan 3 periode lewat keturunan import2 beras petani melarat kenaikan pajak outsourcing buruh abadi tanpa pengangkatan
291,qonitina_,Aku mikirnya akan mulai di ranah ekonomi Kalo ekonomi anjlok rakyat bawah sama menengah bisa bersatu Mulai nih kan bahan pokok naik bbm listrik pajak dsb mau naik Timpang sama rumah pejabat di ikn Belum program maksi gratis itu Udah diwanti defisit tuh APBN
292,adekjagongulek,lah lu tinggal gausah bayar susah amat udh tua tapi ketikannya aneh dibangunnya IKN kan nanti banyak delegasi dan turis asing yg datang pendapatan visa nambah pemasukan negara lebih banyak buat bikin program pensejahteraan masyarakat
293,YogiSuwandy,Ada program makan siang gratis dibilang dana dari mana Pembangunan IKN dikomentari apa ga kasian sama orang orang masih banyak yang kelaparan malah bangun istana Orang kalau hatinya udah dengki ngerik ya
294,angga_rusmanto,Gue setuju aja dgn program ini jika tujuannya utk membantu rakyat miskin asal jangan memindahkan beban ke rakyat yg lain dgn mengurangi subsidi yg sdh ada seperti subsidi BBM amp TDL Ambil aja dari alokasi anggaran yg tdk perlu spt IKN yg banyak menyedot APBN
295,SaintHaezer,Program maksi gratis gagal Prabski Piye lur Isih iling aku Aku dulurmu sing merantau neng IKN kuwi loh WB To the point aja Pinjem seratus kan
296,Hariyad87044839,Ikn kudu didukung Itu program mercusuar lho
297,jangkrik_klawu,Pernah dengar debat capres Masalah IKN Pasangan 02 ingin melanjutkan program pemerataan dengan IKN dikalimantan 01 masalah jgn ditinggalkan dijakartanah klo terus ngurusin ibu kota uang negara habis hasilnya biasa saja mending uangnya buat kota baru seperti IKN
298,tuwelysium,Janganmi deh jadi wildlife activist kalau masih dukung anak presiden dengan program keberlanjutannya bangun IKN yang bikin Pesut Mahakam kita mati
299,DolangMas,Kalau membaca pertanda adanya jalan Tol kereta cepat whoosh IKN menandakan akan datangnya masa percepatan Indonesia Emas itu yg kita harapkan yg kita saksikan semua dipercepat dari usia proses pencapresan sampai proses penganggaran program maksi gratis
300,BaBiBuBe_GoG,Nahh bilangin lahh sma pakde mu itu ngapain ikut ngurus program orang lain kan belum dilantik urusan apa sama periode bapak oiyaa pakdemu itu kan janji2 nya ga ad bner dan yg g dijanjiin malah dikerjain contoh IKN
301,klaperann,DEAR ALL MY FRIENDS PLEASE READ THIS setiap yang dukung paslon tit gue selalu tanya kamu dukung IKN dong trs jawabannya beragam iyaa kan itu udh program udah lama tau kenapa baru dipermasalahin sekarang iya bagus pembangunan biar maju tlg PIKIRIN LINGKUNGANNYA
302,hihihidlar,cak diawal anda sangat dukung program Jokowi ikut potong tumpeng ikn dll terus tibatiba berubah saat jadi cawapres Anies dan awas aja kalo sampe anda masuk pemerintahan lagi saya cap anda sebagai politisi paling munafik dari era Gusdur anda sudah banyak tingkah
303,MMIIIXXVII,i dont even think 02 voters read let alone know their programs other than makan siang gratis and hilirisasiikn bs ijbol kemaren aja nemu thread vismisprogram 02 tapi yang bikin BUKAN voter 02
304,tulalitop,Tapi rakyat pemilihnya 58 jg suka dgn pemimpin yg melanjutkan program ikn Rakyatnya mesti diperbaiki jg dok akal sehat hatinya biar bisa memilih pemimpin yg berkualitas
305,Dhanidjafar,Nahh kan sadar dgn program Amin daripada IKN lebih baik membangun kota kota lainnya
306,rotiebakarr,Kayaknya rata program mereka gitu gak sih dari IKN trus food estate Gak mikirin peluang gagal juga kek mikiran habitat lingkungannya bakal terdampak seperti apa
307,jilansy,well kalau marah ke fasilitasnya memang kurang tepat ya harusnya lebih ke dari sekian byk program IKN yang hasilnya kespill duluan malah rumah dinas
308,PerempuanKujira,Ga usah nyenggol sumur resapan Gitu program Gub Anies yg lu anggap gagal malah dipake sama Jokowi di IKN Minimal punya malu itupun kalo urat malu lo masih ada
309,woiyoo6,Sumur resapan di adopsi sama ikn tuh anis bkn hanya jago ngmng tapi dia punye ide dan gagasan ga kaya capres yang lu dukung program nya gedabrus doang
310,mlptrys,bjingan gw makin lama kok makin sebel ya sama program ikn ini
311,tri_nugie,Padahal pak anies ga pernah bilang mau ganti program yang udahudah Dia cuman bilang bkal direview dulu IKN misalnya Akan dikaji ulang dulu Dihold dulu
312,montaguy,Yg milih paslon dengan program keberlanjutan Termasuk Proyek IKN yg monumental dengan alasan pemerataan pembangunan Read this
313,Susmana,melanjutkan pembangunan IKN merancang dan melaksanakan program hilirisasi industri di berbagai bidang dan satu pembangunan mental patriotisme sebagai bagian kerja kebudayaan yang berkepribadian
314,UtamaWibawa,Angket dan tdk mampu membuat harga beras turun lagi membuat Jokowi keder grasagrusu Terlihat dengan diadakanny rapat membahas program makan siang gratis yg terasa konyol dan sebaiknya membahas programnya sendiri yg belum tuntas ikn hapus stunting dll
315,yugo_arc85,Terus lanjutin IKN internet gratis yg ngikut2 program Ganjar bangun fasilitas buat tentara dan janji2nyg laen gemana Sekarang si Joko udah narik utang lg yg ntah berapa puluh taun baru bisa kebayar Yah biar ujung2nya cm omon omon gak bakal dilaksanain jg sih
316,dointimefaraway,temen kantor yg ga pernah ngerasain naik KRL pas pp kerja malah setuju program berkelanjutan contohnya lanjutin IKN biar pembangunan merata sampe indonesia timur andai pada paham
317,habil_sbq,Tak pakai air cucian beras hasil pengolahan makan siang saja Gratis tak payah hitung anggaran Janji masih banyak belum lagi lanjutkan program yang berat di pendanaan macam IKN fakultas kedokteran alutsista dll
318,alfatih212426,Mana mungkin China kolaborasi dengan oposisi dik pasti dengan yg melanjutkan program penguasa 3 periode IKN Made in China
319,beritaKBR,Rapat Kabinet Jokowi Mulai Bahas Program Makan Siang Gratis Ribuan ASN Bakal Mulai Pindah ke IKN pada Juli Mendatang Film Fast amp Furious 11 Bakal Jadi Sekuel Film Terakhir Selengkapnya di
320,arlandwilman,gak masuk akal nih program kalaupun program ini jalan hanya akan memberatkan apbn belum lagi bayar hutang dan bunganya bangun ikn dan infrastruktur lainnya dgn mental poliTIKUS kita yg bobrok mau buat kementerian khusus makan gratis apa gak jadi bancakan korupsi lagi
321,POSISI,Jika IKN di Stop aja program nekat ini masih belum mencukupi dananya petanyaannya solusinya gimana Hutang lagi Naikin Pajak Cabut Subsidi BBM Listrik Air dll Kah
322,havimon,Kalian kepikiran ngga sih Program makan susu gratis ini akan menyedot apbn secara gila2an bahkan jika target tahun pertamanya misal 20 still huge numbers i guess Terus program kementerian lain gimana IKN apa kabar Emang negara sanggup ngebiayain 2 mega proyek sekaligus
323,MugwortJebbies,Salah satu dari nyusahin rakyat dengan program mau lanjutkan ikn lu pasti gak akan sedih lah kan bos
324,rizkira_fauzia,Ini kah yg akan Menjadi Sistem berkelanjutan Program Pembangunan IKN Masih banyak yg Bobrok tapi Malah membangun Kemegahan sndri
325,TirtoID,IKN amp Sertifikat Elektronik Masuk Program 100 Hari Menteri AHY
326,mfa04183994,2 program prabowo inikan melanjutkan yg menjadi pertanyaannya hutang negara akan di lanjutkan menjadi semakin banyak IKN yg dari awal di janjikan tdk akan sama sekali pakai APBN negara tetap jga di lanjutkan untuk memakai apbn negara
327,timeishourglass,Di Twitter banyak yang bilang IKN scam cuma di kehidupan nyata warga merasa itu program pembangunan yang bagus Gue lagi di Kalimantan BTW jadi gue sekalian tanya pendapat politik mereka tanpa harus menyerang
328,BambangSetyadix,Lha kan kita Tinggal di Jawa Ibukota Negara Borneo kan di IKN ya biar disana negara baru mau ngapain terserah bikin program makan siang gratis
329,okesipgitu,Emang program mereka apa yang bagus Menaikkan gaji pejabat Makan gratis IKN buat pejabat
330,BambangSetyadix,Ibukota pindah ke IKN Prabowo dibikinin negara sendiri di Kalimantan Joko Widodo kalo mau ikut ke Kalimantan silahkan Silahkan atur sendiri program di sana
331,Paulsolo2112,sy kira Jkwi ingin pastikan bahwa program ikn bisa terwujud amp tuntas biar namanya masuk sejarah setelahnya dia pensiun jd pemilu kali ini dia kerja extra amp pastikan program dia jln terus amp minim mangkrak
332,bongkis2,Lah kalau program cuma lap bola doang emang jadi masalah pov kan banyak aspek yg mau di upgrade mulai dr yg paling dasar masalah pangan sampe hal tersier lap bola Toh budget nya ga segede ikn yg hanya diperuntukkan utk golongan tertentu
333,gongzhuyun,Rakyat Indonesia kayanya emang belum siap sama program bagus kaya gini pasti ujungnya dibilang omonomon Mereka sepertinya lebih percaya taksi terbang di IKN
334,bowodoel,Program makan gratis biaya nya 500 T loh duit nya dari mana atau ngutang lagi sdng kan IKN aja butuh 466 T selamat deh semoga tdk jadi bencana demi memenangkan anak aja udah gelontorkan Apbn Trilyunan
335,laskarMedis,Assalamualaikum mas gibran maaf mengganggu perkenalkan saya sugianto dari kawarang izin bertnya terkait program perencanaan Asn yg akan dipindhkan ke IKN pd bulan agustus thun ini apakah ada kriteria khusus agar bisa terpilih untuk menjadi kandidat Asn yang dipindhkan ke IKN
336,MutiaRamdhani25,Ya memng ada anggarannya kan sdh dijelaskan di atas Target 02 13x lipat sementara ada program maksi gratis belum lg bangun ikn dll Skrg apa2 sdh mulai dipajakin Y dananya dr kamu juga itu semuanya Makanya siap2 iket pinggang karna bakal naik smua
337,caknorriz,Duit pajak dari rakyat dipake buat mewahan pejabat di ikn Dari awal juga dibilangin urgensi bangun ikn apa kalo begini artinya bangun wilayah exclusive buat pejabat dan orang kaya Kok ada orang yg ngelanjutin program ini dan pada milih orang itu
338,Jenayass,Mengapa saya katakan seperti itu artinya adanya daycare ini belum merata sementara itu ada banyak sekali program pemerintah yang sedang atau akan dilaksanakan itu tidak ada urgensinya IKN dan Kereta Cepat Mohon agar tetap kritisi program pemerintah Sekian terima kasih
339,exxxtrahottt,karena dikira bakal maju satu Kalimantan kenyataannya emang ada program Jokowi yg memajukan Kalimantan selain IKN yg embel2 melanjutkan juga gaada program yg memajukan Kalimantan malah mau bikin kota2 baru di Pantura
340,czxtrem,Jokowi be like Gimana gw bisa menjalankan program kerja kalau yang bagi2 kaos gwyang bagi2 beras gwyang jagain titik 0 IKN sampai gw camping disitu juga gwyang gunting2 pita gwitu komik juga belum tamat gw bacanya Coba la pengertian kita bersama kasih 3 periode gitu lho
341,Serlokholme,Itu semua karena perubahan iklim bukan sebab program makan gratis dan pembangunan kota ikn
342,NenkMonica,HIL YG MUSTAHAL Kepala Bapenas Arief Prasetyo Adi memprediksi kebutuhan biaya utk merealisasikan program makan siang gratis tembus Rp500 triliun Angka tsb bahkan jauh lebih besar dari estimasi pembiayaan pembangunan Ibu Kota Nusantara IKN yang sekitar Rp466 triliun
343,Gina53855494,Itulah program abah anies membangun sarana dan prasarana di 40 provinsi disetarakan dgn jakarta dari pd anggaran negara buat IKN
344,My_him07,Lah Itu kan program yang selalu digaungkan dan mau dikerjaakan apbn pertahun yang digunakan juga gak sedikit 450ttahun setara harga ikn terus salahnya dimana kalo saya mempertanyakan cara pendistribusiannya Toh selama kampanye belum pernah dijelaskan
345,mdrfhyt,program pemerintah untuk mempercepat pemenuhan penduduk IKN
346,taufik_q,Wow Total biaya Program Susu Gratis Pak Prabowo itu setara dg biaya Pembangunan IKN tuh saudara Kemungkinan besar import pulak Jangan sampai deh Indonesia yg punya program peternak LN yg kaya
347,https4ohm,Kalo di Kalimantan 5kg 87k sih pak lucahsoalnya ongkir barang disini mahal gegara kurangnya tol dan jalan banyak yang rusaksemoga dipemerintahan kedepan tidak ada yang namanya perubahansoalnya program ikn ini sangat membantu kami yang dikalimantanTerimakasih
348,RadenTheoOFC,Gaji guru masih banyak yg di bawah Pemda alokasi anggarannya Di Provinsi DKI Jakarta semua normal malah cenderung berlebihan Dengan asumsi IKN Nusantara di bawah langsung Pempus gaji guru akan setara DKI Jakarta Coba barangkali menyukseskan program 40 kota
349,raspu77in,Biasa buat nyicil IKN sama program makan siang gratis
350,MbemLover,Maaf bu Dokter sepertinya Beban APBN makin berat dan harus cari pemasukan sektor mana lagi apakah pinjaman utang luar negeri lagi atau ada beban lain yg dikenakan ke Rakyat Pasalnya IKN ttp berlanjut ditambah lagi Program Makan dan susu gratis Ada analisa bu Dokter
351,faizacky,Makanya aku juga ga yakin sm program ini program yg empuk banget buat jd lahan korupsi anggarannya jg ga main2 dan belum lagi mereka mau naikkin gaji pejabat blum lagi buat lanjutkan IKN darimana duitnya
352,guust96,Demgan program makan siang gratisIndonesia akan mampu membangun bendungan lebih banyak lagitermasuk taxi terbang di IKN
353,Singojoyo19,Jokowi bukan bajol tapi bukan juga buayaMengerikan diam diam sangat berbahayauntuk IKN kita butuh 466T Negara setengah mati memenuhi untuk beli pesawat bekas yang katanya batal dan sampai harus hutanglalu ada program makan siang geratis yang tiap th perlu 450T
354,YawanMul23956,Target Paripurna Jika AMIN Terbukti Di Curangi dan Menang Pilpres Program Perubahan Pertama adalah 1 Evaluasi Koreksi Revisi IKN Dan UU Omnibus law Serta Menstabilkan Seluruh Harga Bahan Pokok PANGAN RAKYAT Juga Ketersediaan Energi yang Terjangkau
355,EkoApan,Minimal jelas dr progrvmnyakita logic aj inti maslah ini semua kan pmasukan minimtp jorjor an infrastrukturujungnya utang ada bungadomino ke bahan lainnanti program makan matek aj siap kalean gempuran pajak dllsimpelmo stop IKN kaga Nafas dl hrsna ud btul it anis
356,OLannister550,Ketimbang ngabisin jatah jumlah kementerian yg max 34 padahal ada solusi lain misal 1 Jadikan itu program lintas kementerian yg bagi tugasnya diatur lewat PPamp Perpres 2 Bikin lembaga pemerintah yg bertanggung jawab ke Presiden macam BMKGBRINBPSBPOMBNNOtorita IKN dsbg
357,OLannister550,Bayangin betapa gk efisiennya andai semua program jangka panjang Pemerintah ada kementeriannya tersendiri Kementerian BLT dipisah dari Kemensos Kementerian Urusan IKN Kementerian Giant Sea Wall dipisah dari Kemen PUPR Kementerian Hilirisasi Kementerian Transisi EBT
358,blueminapril,sebenernya ikn itu bukan program aneh tapi eksekusinya yang aneh
359,marvelle_danny,Kemarin pada ngoceh program yg kagak mungkin Sekarang di kerjakan pada ngoceh lagi IKN katanya akan jadi kota hantu dibatasi 2 jt penduduk ngoceh lagi Yg ngoceh orang orang yg sama
360,LunarGosh,Program merusak Indonesia 450triliun bisa bikin IKN tiap tahun
361,osmanchaidir,Baca ulasan dari Kompas terkait dana makan siang gratis sudah makin jelas program ini kalau bersandingan dengan IKN akan membuat menkeu misuhmisuh Apakah negara akan jualan risol merch utk mendapatkan dana tambahan
362,medicalsherry,Di pleciden akan datangIKN digempurprogram maksi dan katanya giant sea wall Butuh duit semua weyini kaum medioker mw diperas ampe gmn lg
363,glock20xx,Saran pak utamakan yang ikut program wamil para gen z tiktot pendukung militan anda jadikan mereka juga kuproy untuk ikut bangun ikn sebagai bakti pada negeri Mantap
364,haloozan_,Kalo gaada keberlanjutannya gamungkin program sumur resapan ini di pake di IKN bang
365,whezeerssStopit,Emang IKN itu penting dan program yang bagus buat membuat kemajuan negara Indonesia
366,erasmus70,Gw kira IKN itu program paling aneh
367,BramantioAb,Program makan siang gratis dan ikn adalah proyek yang menghabiskan banyak anggaran sebaiknya ditunda
368,SoundOfGaza1,Miris Akibat kbijakan pnguasa yg lebih milih mmbangun IKN drpd mnjalankn program swasembada pangan Lebih milih ngasih bansos drpd gunain uangnya buat mmbangun sumber daya mnusia mmbantu petani nelayan peternak dng pupuk pakan yg murah
369,DahonoB,Saat ini beras naik nyaris 2X lipatprogram makan gratis anggarannya 400 Triliun tahuntahun depan harga beras pasti lebih tinggi lagi yakinkah program makan gratis dapat di jalankan Kemungkinan anggaran nya bisa 600 triliun Ingat IKN anggarannya sekitar 500 T
370,Tugiman_Jar03,Yg nyerang siapa sih bang Sy hnya menanykan tu program konsepnya sprti apa Sprti makan siang gratis untk peljr ibu hamil rakyat miskin Itu program gmn konsepnya Untk melanjutkan sblumnya kan sudh ada undangnya tu program Ikn lnjut udh ada undangundang ny loh
371,dlan5_lan,Kok memperdangkal mad wkwk ini justru buka pikiran 450 T buat makan aja ga masuk akal Udah 135 pake anggran negara 2024 Anggaran udah hampir setara ikn wkwk satu program aja udah ngebebanin negara Belum lagi isu pangkas subsidi bbm buat program ga masuk akal ini
372,kdrn_phobia,What belum Keluar Gagasan prabowo itu cuma sederhana melanjutkan program pemerintah di tunjukan dgn angkat tema Indonesia maju angkat isu meneruskan hilirasi dan meneruskan IKN Hanya itu gagasannya Sisanya joget joget saja
373,nurinap95,Kalo utk program ya ada jangka pendek menengah dan panjang Bansos meski masih ada yg salah sasaran BPJS meski masih banyak yg bayar ikn Bandara Tol Whoosh Gw ga bilang progam pemerintah skrg semuanya buruk cuma ada beberapa yg dipertanyakan
374,zkfl09,IKN anggaran puluhan trilyun masih sibuk sanasini cari investor dengan janji surga hak lahan mencapai ratusan tahun lah ini yang rencananya 400Ttahun wkwkwkkw Program Makan Siang Gratis Prabowo Capai Rp400 T Ini Sumber Uangnya
375,dahlan_fuad,Lha 02 juga sama namanya juga usaha melanjutkan progam yg bagus dari jokowi ada program baru juga Emng perubahan apa yg mau dirubah Awalnya nolak ikn Tapi akhir2 bilang akan melanjutkan ikn Apa apa yg mau dirubah Mau menghilang pajak kah meniadakan dpr kah Coba sebutkan
376,Linasyafitri_ls,Ini beneran twit dr yg kuliah Mas emang bangun ikn pkae uang apa Jaminan ada duitnya Food estate dah di mulai dr 5 taun lalu jadinya apa Singkong bukan jagung jelek Minta di suapin terus Lah yg janji program makan siang gratis siapa Apa it bukan di supin terus artinya
377,RenataOlivvr21,Kluster Pendidikan di IKN Sebuah pusat keunggulan pendidikan dengan fasilitas terkini dan programprogram inovatif untuk membentuk generasi masa depan
378,NichNach8,Import beras No Food estate Yes tapi yg bener dong ngerjainnya jangan jadi bancakan IKN Yes pakai hutang juga gak masalah Prefer subsidi Program makan gratis BLT dan bansos punya siapa Kaka sebenarnya mau belain atau menjatuhkan
379,wangsa_raden,woy Andre Banmeletus yg tolol siapa ngarepin makan gratis tunggu 2029 yg dipercepat itu penghilngan subsidi bbm trus sma kenaikan pajak rakyat mah gak penting lebih penting bangun IKN yg punya program kek gitu masih loe bela jadi yg tolol siapa elu apa gw
380,van_harlend,Bloon IKN masih bs jd legacy lah ini cm maksi abis ke perut aja haha Anyway kenalan kuliah udah buat perusahaan produksi dan distribusi niatnya menyasar program ini semacam catering lah ya haha You know what dia terlibat jg di bansos covid bahkan jd saksi Vultures
381,unrecognizeme,Emg program ra jelas dri awal gk masuk akal apalagi ditambah ikn ikn itu pfftt
382,BangAlip6,jadi gini emg betul prabowo akan lanjutin program jokowi tpi bukan lanjutin program naikin harga beras naikin harga sembako jadi tu prabowo lanjutin program jokowi yaa lanjutin proyek yg baru setengah jadi contohnya IKN
